IMDb Ranking,Title,Year Release,Age Rating,Runtime,IMDb Rating,Country,Director(s),Top Casts,Original Language,Budget,Gross (Worldwide),Poster,Movie URL
1,The Shawshank Redemption,1994,R,2 hours 22 minutes,9.3,United States,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",English,"$25,000,000 (estimated)","$29,333,735","https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,R,2 hours 55 minutes,9.2,United States,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano","English, Italian, Latin","$6,000,000 (estimated)","$250,342,198","https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,0,190,281_.jpg",https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,PG-13,2 hours 32 minutes,9.0,United States,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal","English, Mandarin","$185,000,000 (estimated)","$1,012,558,979","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,R,3 hours 22 minutes,9.0,United States,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale","English, Italian, Spanish, Latin, Sicilian","$13,000,000 (estimated)","$47,983,687","https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,Approved,1 hour 36 minutes,9.0,United States,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall",English,"$350,000 (estimated)","$2,945","https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,2003,PG-13,3 hours 21 minutes,9.0,New Zealand,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby","English, Quenya, Old English, Sindarin","$94,000,000 (estimated)","$1,138,585,547","https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0167260/
7,Schindler's List,1993,R,3 hours 15 minutes,9.0,United States,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall","English, Hebrew, German, Polish, Latin","$22,000,000 (estimated)","$322,161,245","https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,1994,R,2 hours 34 minutes,8.9,United States,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth","English, Spanish, French","$8,000,000 (estimated)","$213,928,762","https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2 hours 58 minutes,8.9,New Zealand,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard","English, Sindarin","$93,000,000 (estimated)","$888,483,037","https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0120737/
10,"The Good, the Bad and the Ugly",1966,R,2 hours 58 minutes,8.8,Italy,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli","Italian, English","$1,200,000 (estimated)","$25,266,106","https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0060196/
11,Forrest Gump,1994,PG-13,2 hours 22 minutes,8.8,United States,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams",English,"$55,000,000 (estimated)","$678,226,465","https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0109830/
12,The Lord of the Rings: The Two Towers,2002,PG-13,2 hours 59 minutes,8.8,New Zealand,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress","English, Sindarin, Old English","$94,000,000 (estimated)","$938,532,865","https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0167261/
13,Fight Club,1999,R,2 hours 19 minutes,8.8,Germany,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette",English,"$63,000,000 (estimated)","$101,321,009","https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0137523/
14,Inception,2010,PG-13,2 hours 28 minutes,8.8,United States,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy","English, Japanese, French","$160,000,000 (estimated)","$839,381,898","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,PG,2 hours 4 minutes,8.7,United States,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels",English,"$18,000,000 (estimated)","$550,016,086","https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,R,2 hours 16 minutes,8.7,United States,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",English,"$63,000,000 (estimated)","$467,841,735","https://m.media-amazon.com/images/M/MV5BN2NmN2VhMTQtMDNiOS00NDlhLTliMjgtODE2ZTY0ODQyNDRhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0133093/
17,Goodfellas,1990,R,2 hours 25 minutes,8.7,United States,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino","English, Italian, Hebrew, Yiddish","$25,000,000 (estimated)","$47,068,004","https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0099685/
18,Interstellar,2014,PG-13,2 hours 49 minutes,8.7,United States,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn",English,"$165,000,000 (estimated)","$758,614,115","https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0816692/
19,One Flew Over the Cuckoo's Nest,1975,R,2 hours 13 minutes,8.7,United States,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks",English,"$3,000,000 (estimated)","$109,115,366","https://m.media-amazon.com/images/M/MV5BYjBkMjgzMzYtNzRiMS00NDc3LWE4YTUtZjYxYjZhNjNhYzhhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0073486/
20,Se7en,1995,R,2 hours 7 minutes,8.6,United States,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa",English,"$33,000,000 (estimated)","$328,981,827","https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_QL75_UX190_CR0,8,190,281_.jpg",https://www.imdb.com/title/tt0114369/
21,It's a Wonderful Life,1946,PG,2 hours 10 minutes,8.6,United States,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers","English, French","$3,180,000 (estimated)","$10,635,461","https://m.media-amazon.com/images/M/MV5BMDM4OWFhYjEtNTE5Yy00NjcyLTg5N2UtZDQwNDZlYjlmNDU5XkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,R,1 hour 58 minutes,8.6,United States,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald","English, Latin","$19,000,000 (estimated)","$272,742,922","https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_QL75_UY281_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0102926/
23,Seven Samurai,1954,Not Rated,3 hours 27 minutes,8.6,Japan,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, Kamatari Fujiwara",Japanese,"¥125,000,000 (estimated)","$1,082,148","https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",https://www.imdb.com/title/tt0047478/
24,Saving Private Ryan,1998,R,2 hours 49 minutes,8.6,United States,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper","English, French, German, Czech","$70,000,000 (estimated)","$482,352,390","https://m.media-amazon.com/images/M/MV5BZGZhZGQ1ZWUtZTZjYS00MDJhLWFkYjctN2ZlYjE5NWYwZDM2XkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0120815/
25,City of God,2002,R,2 hours 10 minutes,8.6,Brazil,"Fernando Meirelles, Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen, Douglas Silva",Portuguese,"R$3,300,000 (estimated)","$30,681,033","https://m.media-amazon.com/images/M/MV5BYjY4NGI5OTUtY2ZlZS00Zjk4LTk5N2MtN2JmYWVjNGNmMGRlXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg",https://www.imdb.com/title/tt0317248/
26,The Green Mile,1999,R,3 hours 9 minutes,8.6,United States,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell","English, French","$60,000,000 (estimated)","$286,801,374","https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0120689/
27,Life Is Beautiful,1997,PG-13,1 hour 56 minutes,8.6,Italy,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric","Italian, German, English","ITL 15,000,000,000 (estimated)","$230,099,013","https://m.media-amazon.com/images/M/MV5BZTBhOGYzZjQtYzE0Mi00MGIwLWE0MWYtNzMxNTM2OTFkM2NjXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,1991,R,2 hours 17 minutes,8.6,United States,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen","English, Spanish","$102,000,000 (estimated)","$517,778,573","https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0103064/
29,Star Wars: Episode IV - A New Hope,1977,PG,2 hours 1 minute,8.6,United States,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing",English,"$11,000,000 (estimated)","$775,398,507","https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_QL75_UX190_CR0,5,190,281_.jpg",https://www.imdb.com/title/tt0076759/
30,Back to the Future,1985,PG,1 hour 56 minutes,8.5,United States,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson",English,"$19,000,000 (estimated)","$385,053,307","https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",https://www.imdb.com/title/tt0088763/
31,Spirited Away,2001,PG,2 hours 4 minutes,8.6,Japan,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, Mari Natsuki","Japanese, English","$19,000,000 (estimated)","$358,926,964","https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2YwOGUzYjRiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0245429/
32,The Pianist,2002,R,2 hours 30 minutes,8.5,France,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski","English, German, Russian","$35,000,000 (estimated)","$120,098,945","https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_QL75_UY281_CR7,0,190,281_.jpg",https://www.imdb.com/title/tt0253474/
33,Gladiator,2000,R,2 hours 35 minutes,8.5,United States,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris",English,"$103,000,000 (estimated)","$465,516,248","https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0172495/
34,Parasite,2019,R,2 hours 12 minutes,8.5,South Korea,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik, Park So-dam","Korean, English","$11,400,000 (estimated)","$262,616,458","https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt6751668/
35,Psycho,1960,R,1 hour 49 minutes,8.5,United States,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam",English,"$806,947 (estimated)","$32,251,723","https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0054215/
36,The Lion King,1994,G,1 hour 28 minutes,8.5,United States,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Rowan Atkinson","English, Swahili, Xhosa, Zulu","$45,000,000 (estimated)","$979,161,373","https://m.media-amazon.com/images/M/MV5BZGRiZDZhZjItM2M3ZC00Y2IyLTk3Y2MtMWY5YjliNDFkZTJlXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",https://www.imdb.com/title/tt0110357/
37,Grave of the Fireflies,1988,Not Rated,1 hour 28 minutes,8.5,Japan,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara, Kôzô Hashida",Japanese,"$3,700,000 (estimated)","$841,612","https://m.media-amazon.com/images/M/MV5BNTY5MmE2OGMtN2IxNC00MDY4LTkwMGEtZDUzOTYyNWE0ZTNjXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",https://www.imdb.com/title/tt0095327/
